Word,Count
i,3460
a,2482
the,2453
my,1973
i'm,1808
you,1638
me,1347
yeah,1237
on,1234
like,1066
it,1004
and,985
got,969
that,928
to,829
up,816
in,785
she,741
your,732
with,725
bitch,621
baby,559
so,556
don't,538
money,525
shit,507
no,478
this,472
for,464
do,452
what,436
get,418
some,401
all,400
be,389
know,385
just,380
need,354
but,344
fuck,337
ain't,324
of,313
bbno$,310
it's,296
is,295
her,286
now,282
out,275
boy,267
we,262
want,252
ayy,252
not,249
uh,248
big,243
if,234
go,228
too,227
gravy,226
think,214
huh,213
at,209
they,204
hit,203
back,202
one,202
can,199
make,198
tryna,197
i’m,193
wrist,189
how,187
come,187
check,186
skrrt,184
top,182
oh,181
girl,177
these,175
wanna,174
gotta,170
from,170
really,170
them,167
why,167
when,166
bad,165
love,162
nah,162
off,161
never,160
that's,153
drip,153
down,152
where,150
let,148
'em,148
bag,146
i'ma,143
who,141
],141
man,141
talk,138
might,137
okay,134
new,133
time,133
run,133
then,132
way,132
two,131
more,130
yuh,129
give,128
&,126
i'll,124
said,123
been,121
see,121
ass,119
skrr,116
have,115
move,115
take,115
about,115
rich,113
thot,112
ice,111
pull,110
are,109
say,107
gon',106
sorry,106
can't,104
tell,104
wait,101
an,101
only,101
pop,100
show,98
game,98
feeling,98
woah,96
call,96
much,94
yung,94
put,93
keep,90
'cause,90
flex,90
feel,88
dick,87
couple,87
watch,86
diamonds,86
gonna,86
was,85
yo,85
'bout,84
good,84
real,83
fuckin',83
little,82
cause,82
day,81
ooh,81
better,81
bet,81
spot,80
gold,79
damn,78
drop,78
myself,78
cash,77
always,77
ever,77
made,76
did,76
bank,74
low,74
had,74
every,73
kid,73
told,73
ay,71
gave,70
hot,70
god,69
runnin',69
whip,68
pew,68
racks,68
stop,68
hard,67
find,67
whippin',67
booty,66
don’t,66
ho,66
holetime,66
girls,65
cold,65
pipe,65
i've,64
bitches,63
quick,63
play,62
he,61
heard,61
[chorus:,60
lady,60
getting,60
broke,60
easy,59
three,58
next,58
right,57
life,57
what's,57
sussy,57
while,56
stay,56
lookin',56
nice,54
another,54
nerf,54
look,53
kinda,53
should,53
still,52
clean,52
brand,52
price,52
foreign,52
blue,52
as,52
quite,52
cheese,52
pills,52
here,51
touch,51
